URLLength,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,LetterRatioInURL,NoOfQMarkInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,label
77,23,0,0,67.79661016949152,0.0389610389610389,0.9,0.6883116883116883,3,0,0,0,0.6883116883116883,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.0158730158730158,0.9,0.6984126984126984,3,3,1,8,0.6984126984126984,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,24,0,9,54.54545454545454,0.0625,0.5,0.75,2,2,1,1,0.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,27,0,0,73.01587301587301,0.037037037037037,0.9,0.6419753086419753,3,1,0,0,0.6419753086419753,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,10,0,501,64.51612903225806,0.064516129032258,0.5,0.7419354838709677,5,0,0,0,0.7419354838709677,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,23,0,2,55.319148936170215,0.0392156862745098,0.5,0.7843137254901961,2,2,1,1,0.7843137254901961,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,21,0,0,59.57446808510638,0.04,0.9,0.78,3,1,0,0,0.78,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,23,0,0,69.23076923076923,0.088235294117647,0.9,0.7941176470588235,3,1,0,0,0.7941176470588235,0,0,55,165,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
40,11,0,39,50.0,0.05,0.85,0.7,3,0,0,0,0.7,0,0,14,269,1,0.0869565217391304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.0158730158730158,0.9,0.7619047619047619,3,3,1,8,0.7619047619047619,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
